,Description,Rate,Occurrences,h
0,2 1 2 3 1 3 1 0 1 0,9.313725490196079,19,170
1,2 1 1 3 1 2 1 0 1 1,11.980570033861273,12,273531
2,2 1 2 1 2 1 0 0 1 1,1.421242798467959,5,960737
3,2 1 1 3 2 2 0 0 1 0,29.41176470588235,6,17
4,2 1 1 2 1 1 3 0 1 1,12.844103072152684,8,170094
5,2 1 2 1 1 2 2 0 1 1,18.956553414850916,1,14406
6,2 1 1 2 1 3 1 0 1 1,5.297641244143287,1,51549
7,2 1 3 1 1 3 2 0 1 0,5.555555555555555,1,15
8,2 1 2 1 1 2 3 0 1 0,13.888888888888888,1,6
9,2 1 2 2 1 4 1 0 1 0,3.9682539682539684,1,21
10,2 1 1 1 2 1 0 0 1 1,213.6839659580143,1,1278
11,2 1 2 3 2 2 0 0 1 0,20.833333333333332,1,4
12,2 1 2 3 2 1 0 0 1 0,0.4604051565377532,2,362
13,2 1 1 2 2 1 0 0 1 1,0.45901095471097914,1,594949
14,2 1 1 3 1 3 1 0 1 1,0.1075142414322821,2,5080036
15,2 1 2 2 1 2 3 0 1 0,5.319148936170213,3,47
16,2 1 1 3 2 0 0 0 1 1,13.820947846264604,1,19759
17,2 1 1 3 1 4 1 0 1 0,1.6556291390728477,3,151
18,2 1 1 4 1 3 1 0 1 0,11.904761904761903,1,7
19,2 1 0 3 1 3 1 0 1 1,84.5212344457884,1,3231
20,2 1 0 3 1 1 2 0 1 1,1978.899336915524,1,138
21,2 1 1 2 1 2 1 0 1 1,123.79334020595752,1,2206
22,2 1 0 3 1 1 3 0 1 1,25.562867031203062,1,10683
