,Description,Rate,Occurrences,h
0,2 1 1 3 1 2 1 0 1 1,6.410237404057756,7,296970
1,2 1 2 3 1 3 1 0 1 0,19.345238095238095,13,56
2,2 1 3 2 2 2 0 0 1 0,16.666666666666668,1,5
3,2 1 0 3 1 1 3 0 1 1,70.2401373287223,7,27102
4,2 1 2 1 2 1 0 0 1 1,0.8050494904638694,3,1013415
5,2 1 1 3 2 2 0 0 1 0,15.873015873015873,4,21
6,2 1 1 2 2 1 0 0 1 1,2.2979402858265865,2,236690
7,2 1 1 2 1 1 3 0 1 1,7.77599128259364,2,69946
8,2 1 1 2 1 2 2 0 1 1,148.44418292911973,1,1832
9,2 1 1 3 1 3 2 0 1 0,4.385964912280701,1,19
10,2 1 1 3 1 3 1 0 1 0,0.0009888145300362302,1,84276
11,2 1 1 2 1 3 1 0 1 1,12.607192208342095,1,21571
12,2 1 1 3 1 4 1 0 1 0,3.4722222222222223,3,72
13,2 1 1 3 1 2 3 0 1 0,4.761904761904762,2,35
14,2 1 2 1 1 2 1 0 1 1,66.45888150687864,1,4092
15,2 1 2 2 1 2 3 0 1 0,18.51851851851852,2,9
16,2 1 2 1 1 3 1 0 1 1,5.938285944758219,2,91592
17,2 1 2 1 1 2 3 0 1 0,41.666666666666664,1,2
18,2 1 0 3 1 1 1 0 1 1,271949.74312614737,1,1
19,2 1 2 2 2 2 0 0 1 0,6.944444444444444,1,12
