,Description,Rate,Occurrences,h
0,2 1 2 3 1 3 1 0 1 0,9.364292422462599,78.0,552.0
1,2 1 1 3 1 2 1 0 1 1,9.837082960412962,52.0,1562286.0
2,2 1 2 1 2 1 0 0 1 1,1.2954445091646678,44.0,7455649.0
3,2 1 1 3 2 2 0 0 1 0,23.763161974388847,52.0,207.0
4,2 1 1 2 1 1 3 0 1 1,10.006449666633896,73.0,971258.0
5,2 1 2 1 1 2 2 0 1 1,22.428014192068616,17.0,621219.0
6,2 1 1 2 1 3 1 0 1 1,3.822337421390618,8.0,214852.0
7,2 1 3 1 1 3 2 0 1 0,5.674762102398441,19.0,219.0
8,2 1 2 1 1 2 3 0 1 0,10.065383516608621,7.0,40.0
9,2 1 2 2 1 4 1 0 1 0,4.438899373118946,5.0,103.0
10,2 1 2 3 2 2 0 0 1 0,26.068566308856486,8.0,25.0
11,2 1 2 3 2 1 0 0 1 0,0.3246995856152786,21.0,2561.0
12,2 1 1 2 2 1 0 0 1 1,0.3161676628174444,31.0,4706049.0
13,2 1 2 2 1 2 3 0 1 0,4.006184429532099,45.0,566.0
14,2 1 1 3 2 0 0 0 1 1,9.896415709791347,22.0,262604.0
15,2 1 1 3 1 4 1 0 1 0,3.4854450888833104,8.0,330.0
16,2 1 1 4 1 3 1 0 1 0,20.01388592627248,13.0,50.0
17,2 1 0 3 1 3 1 0 1 1,95.16059189243165,3.0,36648.0
18,2 1 0 3 1 1 2 0 1 1,810.5218500012555,16.0,9193.0
19,2 1 1 2 1 2 1 0 1 1,118.33156690653013,33.0,80318.0
20,2 1 0 3 1 1 3 0 1 1,18.724961941745647,32.0,166236.0
